"","Rank_1","Rank_2","Rank_3","Rank_4","Rank_5","Rank_6","Rank_7","Rank_8"
"OTU_40001","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40003","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_4002","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40025","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_4003","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40030","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40033","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40044","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40063","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_4008","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40098","Root","Eukaryota","Cnidaria","Anthozoa","Actiniaria","Boloceroididae","Bunodeopsis","Bunodeopsis medusoides"
"OTU_40103","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40125","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40131","Root","Eukaryota","unclassified_Eukaryota",NA,NA,NA,NA,NA
"OTU_40136","Root","Eukaryota","unclassified_Eukaryota",NA,NA,NA,NA,NA
"OTU_40137","Root","Eukaryota","unclassified_Eukaryota",NA,NA,NA,NA,NA
"OTU_40146","Root","Eukaryota","Cnidaria","Anthozoa","Actiniaria","Sagartiidae","unclassified_Sagartiidae",NA
"OTU_40147","Root","Eukaryota","Porifera","Demospongiae","Haplosclerida","Petrosiidae","Petrosia","Petrosia sp. C GPM_2011"
"OTU_40149","Root","Eukaryota","unclassified_Eukaryota",NA,NA,NA,NA,NA
"OTU_40156","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40159","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_4016","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40176","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40182","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40188","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40189","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40221","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40223","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40228","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40229","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40237","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40239","Root","Eukaryota","Porifera","Demospongiae","Poecilosclerida","Mycalidae","Mycale","Mycale fibrexilis"
"OTU_40241","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40242","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40243","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40245","Root","Eukaryota","Annelida","Polychaeta","Phyllodocida","Syllidae","Syllis","Syllis picta"
"OTU_40247","Root","Eukaryota","unclassified_Eukaryota",NA,NA,NA,NA,NA
"OTU_40258","Root","Eukaryota","Cnidaria","Scyphozoa","Coronatae","Nausithoidae","Nausithoe","Nausithoe picta"
"OTU_40262","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40263","Root","Eukaryota","Mollusca","Gastropoda","Neogastropoda","Turridae",NA,NA
"OTU_40269","Root","Eukaryota","unclassified_Eukaryota",NA,NA,NA,NA,NA
"OTU_40274","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40276","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40277","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40278","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40286","Root","Eukaryota","Porifera","Demospongiae","Poecilosclerida",NA,NA,NA
"OTU_40287","Root","Eukaryota","Porifera","Demospongiae","Poecilosclerida","unclassified_Poecilosclerida",NA,NA
"OTU_40293","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40294","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40295","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40296","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40297","Root","Eukaryota","Mollusca","Gastropoda","Nudibranchia","Chromodorididae","Hypselodoris","Hypselodoris maculosa"
"OTU_40299","Root","Eukaryota","unclassified_Eukaryota",NA,NA,NA,NA,NA
"OTU_40301","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40303","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40316","Root","Eukaryota","Cnidaria","Hydrozoa","unclassified_Hydrozoa",NA,NA,NA
"OTU_40317","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40319","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40320","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40325","Root","Eukaryota","Porifera","Demospongiae","Poecilosclerida","unclassified_Poecilosclerida",NA,NA
"OTU_40329","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_4034","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40351","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40353","Root","Eukaryota","Porifera","Demospongiae","order_family_genus_Demospongiae sp. GW5945","family_genus_Demospongiae sp. GW5945","genus_Demospongiae sp. GW5945","Demospongiae sp. GW5945"
"OTU_4036","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40372","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40373","Root","Eukaryota","Mollusca","Gastropoda","Nudibranchia","Polyceridae","Polycera","Polycera japonica"
"OTU_40377","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_4038","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40382","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40389","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40390","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40391","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40392","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40394","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40398","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40399","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40404","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40408","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_4041","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40410","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40417","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40418","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40419","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40437","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40438","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40446","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40449","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_4045","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40466","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40475","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40484","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40485","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40498","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40505","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40506","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40509","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40511","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40512","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40513","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40517","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
"OTU_40523","Root","unclassified_Root",NA,NA,NA,NA,NA,NA
